brand,platform,post_url,post_date,post_time,post_type,video_length_seconds,caption_text,hashtags,likes,comments,shares,saves,views,engagement_rate_manual,content_theme,visual_style,caption_tone,cta_type,has_creator_collab,creator_handle,has_music_audio,audio_description,emoji_count_in_caption,caption_word_count,mentions_count,is_paid_partnership,notes
818 Tequila,Instagram,https://www.instagram.com/reel/DTvsTPpEkuZ/,2026-01-20,15:25,Reel,0,"The 818 + blankstreet Matcha Martini

Video by join_jules 
 
RECIPE:
- 2.0 OZ Matcha Infused Tequila
- 0.25 OZ Honey 
- 0.5 OZ Dry Vermouth

MATCHA INFUSION PREP:
1. Infuse 8 grams of Blank Street Matcha into the tequila bottle.
2. Seal the bottle and refrigerate for at least 2 hours.
3. Strain out the matcha before using the tequila for cocktail prep.

COCKTAIL PREP:
1. Fill a chilled coupe glass with ice and dry vermouth to coat the inside. Set aside.
2. In a mixing glass, combine Matcha-infused tequila and honey. Add ice and stir for 1 minute until well chilled.
3. Discard the ice and any excess vermouth from the coupe glass.
4. Place a large ice cube in the coupe using tongs. Lightly dust the cube with dry matcha powder using a matcha strainer.
5. Strain the chilled cocktail into the prepared coupe over the matcha-dusted ice cube.",,16310,336,0,0,0,,Cocktail Recipe,Raw / UGC-style,Casual / Conversational,None,No,,Yes,,0,151,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Patron,Instagram,https://www.instagram.com/reel/DUJtHeClfGy/,2026-01-30,17:30,Reel,0,"The process, perfected. We collaborated with the legendary mustard to turn our cork pop into a musical masterpiece. The result? Simply perfect.

#PATRONxGRAMMYS",#PATRONxGRAMMYS,3993,56,0,0,0,,Creator Collab / UGC,Raw / UGC-style,Aspirational / Lifestyle,None,No,,Yes,,0,23,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
818 Tequila,Instagram,https://www.instagram.com/p/DTQ5bs2knb_/,2026-01-08,16:00,Carousel,0,Añejo hour at the cottage,,2673,87,0,0,0,,Education (Tequila 101),Animation / Motion Graphics,Casual / Conversational,None,No,,No,,0,5,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Patron,Instagram,https://www.instagram.com/p/DTi66phCWLO/,2026-01-15,16:00,Carousel,0,"Music’s most iconic night deserves tequila’s most elegant bottle. PATRÓN is the official tequila partner of the 2026 GRAMMY Awards. 
 
#PATRONTequila #PATRONELALTO #PATRONxGRAMMYS",#PATRONTequila #PATRONELALTO #PATRONxGRAMMYS,2421,76,0,0,0,,Product Showcase,Polished / Studio,Premium / Luxury,None,No,,No,,0,23,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
818 Tequila,Instagram,https://www.instagram.com/p/DT8kHLukjwP/,2026-01-25,15:01,Carousel,0,Snow days with alexandraacastle_,,2278,56,0,0,0,,Lifestyle/Aspirational,Raw / UGC-style,Casual / Conversational,None,No,,No,,0,4,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
818 Tequila,Instagram,https://www.instagram.com/reel/DT08CnmEoYU/,2026-01-22,15:57,Reel,0,"818 Chamomile Hot Toddy 🍋

RECIPE: 
- 1.5 OZ Chamomile-Infused 818 Tequila Reposado
- 0.75 OZ Honey Syrup
- 1 Dash Angostura Bitters
- 4 OZ Boiling Water
- 2 Lemon Wedges
- Cinnamon Stick

For the Chamomile-Infused Tequila:
1. Combine 5 grams of chamomile flowers (or three bags of chamomile tea) and 25 oz of 818 Reposado (1 bottle).
2. Let sit for 1-2 hours, stirring occasionally.
3. Strain through a coffee filter, discarding the solids.

For the Cocktail:
1. Squeeze the lemon wedges into a heat-safe mug or glass, then add in remaining ingredients except for the boiling water.
2. Carefully pour in the boiling water, and garnish with fresh lemon wedges and a cinnamon stick.",,1921,65,0,0,0,,Cocktail Recipe,Raw / UGC-style,Casual / Conversational,None,No,,Yes,,1,118,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Casamigos,Instagram,https://www.instagram.com/reel/DT-7w1aAQue/,2026-01-26,13:17,Reel,0,"#ad On the ground at the Sundance Film Festival with Casamigos Correspondent notskinnybutnotfat 
 
Enjoy responsibly. Diageo New York, NY. Don’t share with anyone under 21 years old.",#ad,1830,60,0,0,0,,Music / Party,Raw / UGC-style,Casual / Conversational,None,No,,Yes,,0,27,0,Yes,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
818 Tequila,Instagram,https://www.instagram.com/p/DTONwzGj1Zm/,2026-01-07,15:00,Carousel,0,Snowy season,,1482,46,0,0,0,,Lifestyle/Aspirational,Raw / UGC-style,Casual / Conversational,None,No,,No,,0,2,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
818 Tequila,Instagram,https://www.instagram.com/p/DUByXPekhWG/,2026-01-27,15:41,Carousel,0,Our winter vibe,,1396,50,0,0,0,,Giveaway / Promo,Raw / UGC-style,Casual / Conversational,None,No,,No,,0,3,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
818 Tequila,Instagram,https://www.instagram.com/p/DTV8E_FkhNX/,2026-01-10,15:00,Carousel,0,Warm up with the 818 Orange Rosemary Hot Toddy,,1251,65,0,0,0,,Lifestyle/Aspirational,Raw / UGC-style,Casual / Conversational,None,No,,No,,0,9,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Patron,Instagram,https://www.instagram.com/p/DT08ejkj8bX/,2026-01-22,16:00,Carousel,0,"Top shelf trophies deserve top shelf tequila. 

Celebrate music’s most iconic night with the PATRÓN Silver High Note or the PATRÓN Cristalino Clear Winner. And make sure to tune in to the grammys on Sunday, February 1st.
 
#PATRONCRISTALINO #PATRONSILVER #PATRONxGRAMMYS",#PATRONCRISTALINO #PATRONSILVER #PATRONxGRAMMYS,1158,19,0,0,0,,Giveaway / Promo,Polished / Studio,Playful / Fun,None,No,,No,,0,40,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
818 Tequila,Instagram,https://www.instagram.com/p/DT_asy4Er75/,2026-01-26,17:36,Carousel,0,A closer look inside The 818 Chamomile Hot Toddy,,1050,52,0,0,0,,Lifestyle/Aspirational,Raw / UGC-style,Casual / Conversational,None,No,,No,,0,9,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
818 Tequila,Instagram,https://www.instagram.com/p/DTyvQSOgddn/,2026-01-21,19:26,Carousel,0,Our kind of cozy season,,857,37,0,0,0,,Cocktail Recipe,Raw / UGC-style,Casual / Conversational,None,No,,No,,0,5,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Casamigos,Instagram,https://www.instagram.com/reel/DUEGXFMjjTb/,2026-01-28,13:17,Reel,0,"#ad From Main Street to margaritas - we took over Park City during the Sundance Film Festival.
Anything Goes With My Casamigos, with Casamigos Correspondent notskinnybutnotfat

Enjoy responsibly. Diageo New York, NY. Don't share with anyone under 21 years old.",#ad,842,24,0,0,0,,Music / Party,Raw / UGC-style,Casual / Conversational,None,No,,Yes,,0,40,0,Yes,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Patron,Instagram,https://www.instagram.com/p/DTdxU3OD8B-/,2026-01-13,16:00,Carousel,0,"You can’t miss the sophisticated taste of Silver.

#PATRONTequila #PATRONSilver",#PATRONTequila #PATRONSilver,811,10,0,0,0,,Lifestyle/Aspirational,Polished / Studio,Casual / Conversational,None,No,,No,,0,10,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Patron,Instagram,https://www.instagram.com/p/DTBkoakCXL1/,2026-01-02,17:10,Carousel,0,"A fresh cocktail for a fresh start. The Cucumber-Coconut Margarita, designed with balance in mind.

1 oz PATRÓN Silver Tequila 
2 oz Coconut water
.75 oz Fresh lime juice
.75 oz Simple syrup
7 Thin slices of cucumber, 3 for garnish

#PATRONTequila #PATRONMargarita",#PATRONTequila #PATRONMargarita,776,12,0,0,0,,Cocktail Recipe,Polished / Studio,Casual / Conversational,None,No,,No,,0,43,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Patron,Instagram,https://www.instagram.com/p/DTL6DW1CVL0/,2026-01-06,17:30,Carousel,0,"Some things get clearer with age–Cristalino is one of them. Each batch begins as Añejo before being triple filtered without any sweeteners to achieve its crystal clear nature.

#PATRÓNTequila #PATRÓNCristalino",#PATRÓNTequila #PATRÓNCristalino,767,10,0,0,0,,Education (Tequila 101),Animation / Motion Graphics,Casual / Conversational,None,No,,No,,0,30,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Patron,Instagram,https://www.instagram.com/p/DTvy_W9idfL/,2026-01-20,16:01,Static Image,0,"This awards season, PATRÓN is raising the bar. Celebrate music’s most iconic night with The Golden Record – the Official Cocktail of the 2026 grammys and watch along on Sunday, February 1st.  
 
1.5 oz PATRÓN El ALTO
1 oz Martini & Rossi Prosecco
.5 oz Fino Sherry Tio Pepe
2 oz Pear Cordial
Dash of Bergamot Bitters
 
The perfect way to enjoy PATRÓN is responsibly. www.responsibility.org ©2026. PATRÓN EL ALTO, its trade dress and the bee logo are trademarks. Handcrafted in Mexico. Imported by the PATRÓN Spirits Company, Coral Gables, FL. Tequila – 40% alc. by vol.

#PATRONELALTO #PATRONxGRAMMYS",#PATRONELALTO #PATRONxGRAMMYS,718,11,0,0,0,,Cocktail Recipe,Polished / Studio,Aspirational / Lifestyle,None,No,,No,,0,99,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Casamigos,Instagram,https://www.instagram.com/p/DTyUWB7FR5O/,2026-01-21,15:30,Carousel,0,"Next stop, Park City 🎬❄️",,591,27,0,0,0,,Lifestyle/Aspirational,Raw / UGC-style,Casual / Conversational,None,No,,No,,3,5,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Espolon,Instagram,https://www.instagram.com/reel/DT3XkLZEj3f/,2026-01-23,14:35,Reel,0,"Fresh juice. Bright flavors. No shortcuts.
eltragodeldia shows how his perfect Paloma starts (and ends) with Espolòn. 🐓🍋‍🟩
‍
Recipe
2 oz Espolòn Blanco
2 oz fresh grapefruit juice
1 oz fresh lime juice
0.5 oz agave syrup
Grapefruit soda to top
Black salt rim
Shake with ice, strain over ice, top with soda, garnish with grapefruit and lime.
#ad #EspolonPartner",#ad #EspolonPartner,587,14,0,0,0,,Cocktail Recipe,Animation / Motion Graphics,Aspirational / Lifestyle,None,No,,Yes,,2,61,0,Yes,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Patron,Instagram,https://www.instagram.com/p/DUCIBCiFsrO/,2026-01-27,18:51,Static Image,0,"Celebrate the best in music with the best of tequila. 

PATRÓN is the official tequila partner of the GRAMMY Awards. 

#PATRONxGRAMMYS #PATRONELALTO",#PATRONxGRAMMYS #PATRONELALTO,582,7,0,0,0,,Lifestyle/Aspirational,Polished / Studio,Playful / Fun,None,No,,No,,0,22,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Patron,Instagram,https://www.instagram.com/reel/DUG-GouDCrT/,2026-01-29,16:01,Reel,0,The signature cork pop is coming. Stay tuned. mustard #PATRONxGRAMMYS,#PATRONxGRAMMYS,554,29,0,0,0,,Lifestyle/Aspirational,Polished / Studio,Casual / Conversational,None,No,,Yes,,0,10,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Patron,Instagram,https://www.instagram.com/p/DTbT0BqlkTl/,2026-01-12,17:03,Static Image,0,"Aged naturally. PATRÓN Reposado is crafted in oak barrels to develop its distinctly smooth taste.

#PATRÓNTequila #PATRÓNReposado",#PATRÓNTequila #PATRÓNReposado,564,7,0,0,0,,Product Showcase,Polished / Studio,Premium / Luxury,None,No,,No,,0,17,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Patron,Instagram,https://www.instagram.com/p/DUMIYXejyrF/,2026-01-31,16:06,Carousel,0,Quiet on set? Not with mustard. Thanks for making our PATRÓN El ALTO cork pop really pop. #PATRONxGRAMMYS,#PATRONxGRAMMYS,381,11,0,0,0,,Lifestyle/Aspirational,Polished / Studio,Casual / Conversational,None,No,,No,,0,18,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Teremana,Instagram,https://www.instagram.com/p/DTyZf1ckUG_/,2026-01-21,16:16,Static Image,0,Just saying,,352,7,0,0,0,,Lifestyle/Aspirational,Raw / UGC-style,Casual / Conversational,None,No,,No,,0,2,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Teremana,Instagram,https://www.instagram.com/reel/DTJYxaKDSND/,2026-01-05,18:01,Reel,0,Some resolutions are meant to be revisited,,297,13,0,0,0,,Lifestyle/Aspirational,Raw / UGC-style,Casual / Conversational,None,No,,Yes,,0,7,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Casamigos,Instagram,https://www.instagram.com/reel/DTOmTuAk408/,2026-01-07,18:35,Reel,0,"Proof margaritas aren't just for summer​ 🍋❄️

Anything Goes With My Casamigos",,297,10,0,0,0,,Cocktail Recipe,Raw / UGC-style,Casual / Conversational,None,No,,Yes,,3,12,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Espolon,Instagram,https://www.instagram.com/reel/DUL5WMmkmwF/,2026-01-31,14:00,Reel,0,"The fit changes, the boldness doesn’t. Espolòn remains the main character.",,269,31,0,0,0,,Product Showcase,Polished / Studio,Bold / Edgy,None,No,,Yes,,0,11,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Espolon,Instagram,https://www.instagram.com/reel/DTTTT5_kkSc/,2026-01-09,14:26,Reel,0,"Inspired by our Posada world, reimagined by danyboydoid. That’s the collab. 😮‍💨☠️",,251,13,0,0,0,,Creator Collab / UGC,Raw / UGC-style,Casual / Conversational,None,No,,Yes,,4,12,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Teremana,Instagram,https://www.instagram.com/reel/DTTvpVqDTHR/,2026-01-09,18:34,Reel,0,"calling alllll fans of flavor🍗🍹Teremana & Wingstop are partnering this football season to push the boundaries of flavor🔥

so tell us, what‘s your wing & marg combo?👀",,206,32,0,0,0,,Giveaway / Promo,Raw / UGC-style,Casual / Conversational,Comment below,No,,Yes,,4,27,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Espolon,Instagram,https://www.instagram.com/p/DTlUwkyEmRO/,2026-01-16,14:24,Static Image,0,The internet decided 2026 is the new 2016. Iconic behavior.,,219,13,0,0,0,,Lifestyle/Aspirational,Animation / Motion Graphics,Casual / Conversational,None,No,,No,,0,10,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Casamigos,Instagram,https://www.instagram.com/reel/DUBxYVHk52w/,2026-01-27,15:38,Reel,0,"Roll The Credits

taogrouphospitality",,189,18,0,0,0,,Lifestyle/Aspirational,Raw / UGC-style,Casual / Conversational,None,No,,Yes,,0,4,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Casamigos,Instagram,https://www.instagram.com/reel/DTdrzf7iBvE/,2026-01-13,15:12,Reel,0,"Our winter cocktail lineup starts here. 
Find the recipes at the link in bio 🥃",,191,9,0,0,0,,Cocktail Recipe,Raw / UGC-style,Casual / Conversational,Link in bio,No,,Yes,,1,15,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Teremana,Instagram,https://www.instagram.com/reel/DTX-9PBjYH-/,2026-01-11,10:04,Reel,0,When the occasion calls for something golden✨,,187,6,0,0,0,,Lifestyle/Aspirational,Raw / UGC-style,Aspirational / Lifestyle,None,No,,Yes,,1,7,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Espolon,Instagram,https://www.instagram.com/p/DTQ-tPxkv79/,2026-01-08,16:46,Static Image,0,Your 2026 vibe in 3 words 👀 go,,90,26,0,0,0,,Lifestyle/Aspirational,Animation / Motion Graphics,Casual / Conversational,None,No,,No,,1,8,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Espolon,Instagram,https://www.instagram.com/p/DTyb5QqEuDc/,2026-01-21,16:36,Carousel,0,"We’re not doing “new year, new me”. We’re doing “same me, better plot development”. Salud!  🔮🥂",,113,2,0,0,0,,Cultural Moment / Holiday,Animation / Motion Graphics,Casual / Conversational,None,No,,No,,2,16,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Casamigos,Instagram,https://www.instagram.com/p/DTTW2plAboY/,2026-01-09,14:56,Static Image,0,Après starts with margs - made from 100% Blue Weber agave.,,111,1,0,0,0,,Lifestyle/Aspirational,Raw / UGC-style,Casual / Conversational,None,No,,No,,0,11,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Teremana,Instagram,https://www.instagram.com/reel/DT3UNQFEcI8/,2026-01-23,14:06,Reel,0,And I forgot my umbrella at home,,94,11,0,0,0,,Lifestyle/Aspirational,Raw / UGC-style,Casual / Conversational,None,No,,Yes,,0,7,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Casamigos,Instagram,https://www.instagram.com/p/DUG9IGxE7Ac/,2026-01-29,15:52,Carousel,0,Scenes from Sundance,,0,16,0,0,0,,Music / Party,Raw / UGC-style,Casual / Conversational,None,No,,No,,0,3,0,No,"Imported from Sprout Social — Competitor Posts (Cuervo) January 1, 2026 - January 31, 2026.csv"
Jose Cuervo,Instagram,https://www.instagram.com/reel/DULp4hkguTr/,2026-01-31,11:41,Reel,0,"From ground to glass, Cuervo has been leading the charge in tequila sustainability and we took that story straight to New Orleans 🌱✨

Hit the link in bio to learn more about our sustainability practices!",,47,0,6,2,1434,,Lifestyle/Aspirational,Mixed / Hybrid,Educational / Informative,Link in bio,No,,Yes,,2,35,0,No,"Imported from Sprout Social — Post Performance (Cuervo) January 1, 2026 - January 31, 2026.csv"
Jose Cuervo,Instagram,https://www.instagram.com/p/DUG6nyAEtK6/,2026-01-29,15:30,Carousel,0,"From agave to after-party ♻️

We don’t just craft tequila, we repurpose our agave bagasse into cups and new products that keep the celebration going with less waste. 

That’s how Cuervo does sustainability. 🌱",,37,1,0,0,0,,Behind the Scenes,Lo-fi / Authentic,Playful / Fun,None,No,,No,,3,34,0,No,"Imported from Sprout Social — Post Performance (Cuervo) January 1, 2026 - January 31, 2026.csv"
Jose Cuervo,Instagram,https://www.instagram.com/p/DT3gW5GDJ0M/,2026-01-23,15:52,Carousel,0,"There’s a tray of Cuervo cocktails… who are you sharing them with??

Tag your happy hour crew below 👇",,97,9,11,5,0,,Cocktail Recipe,Mixed / Hybrid,Casual / Conversational,Tag a friend,No,,No,,1,19,0,No,"Imported from Sprout Social — Post Performance (Cuervo) January 1, 2026 - January 31, 2026.csv"
Jose Cuervo,Instagram,https://www.instagram.com/p/DTySNC9EY-K/,2026-01-21,15:12,Carousel,0,"Who’s ready for another round? 👀🔥

Shots going up, cocktails flowing, and the whole crew locked in.

Save this for your next night out!",,54,0,3,0,0,,Cocktail Recipe,Mixed / Hybrid,Casual / Conversational,None,No,,No,,2,24,0,No,"Imported from Sprout Social — Post Performance (Cuervo) January 1, 2026 - January 31, 2026.csv"
Jose Cuervo,Instagram,https://www.instagram.com/p/DTs_lHvDs3t/,2026-01-19,13:53,Carousel,0,"Nights like these don’t need much… just Cuervo, good company, and a reason to stay a little longer 🌙 🥃",,57,2,0,2,0,,Lifestyle/Aspirational,Mixed / Hybrid,Casual / Conversational,None,No,,No,,2,20,0,No,"Imported from Sprout Social — Post Performance (Cuervo) January 1, 2026 - January 31, 2026.csv"
Jose Cuervo,Instagram,https://www.instagram.com/p/DTmWosKjcua/,2026-01-17,00:00,Static Image,0,"A little throwback moment never hurt anyone 📺✨

We bring our iconic Cuervo ads to our activations to celebrate our history — timeless & unforgettable.

Share this with a tequila lover!",,36,1,0,1,0,,Brand Heritage / Story,Animation / Motion Graphics,Nostalgic / Heritage,Share this,No,,No,,2,31,0,No,"Imported from Sprout Social — Post Performance (Cuervo) January 1, 2026 - January 31, 2026.csv"
Jose Cuervo,Instagram,https://www.instagram.com/p/DTi6H46jkY4/,2026-01-15,15:53,Carousel,0,"We rang in the new year the only way we know how 🥂🔥

Hit the link in bio to learn a new Cuervo cocktail recipe & keep the vibes going!",,48,0,3,2,0,,Cocktail Recipe,Mixed / Hybrid,Educational / Informative,Link in bio,No,,No,,2,30,0,No,"Imported from Sprout Social — Post Performance (Cuervo) January 1, 2026 - January 31, 2026.csv"
Jose Cuervo,Instagram,https://www.instagram.com/p/DTTcjDZD1ha/,2026-01-09,15:46,Carousel,0,"Good music, great friends, and even better tequila 🍹🔥 Cuervo brought the party to Akamba! Every sip, every beat, every moment was unforgettable!!

Do you want to join us this year? 👀",,59,3,0,3,0,,Lifestyle/Aspirational,Mixed / Hybrid,Playful / Fun,None,No,,No,,3,32,0,No,"Imported from Sprout Social — Post Performance (Cuervo) January 1, 2026 - January 31, 2026.csv"
Jose Cuervo,Instagram,https://www.instagram.com/p/DTOBGq4j7_i/,2026-01-07,13:10,Carousel,0,"Four tequilas. Endless ways to raise your glass. Which Cuervo are you reaching for?

Blanco, Reposado, Anejo, or Cristalino 🥃👇",,103,7,16,1,0,,Education (Tequila 101),Animation / Motion Graphics,Casual / Conversational,None,No,,No,,2,20,0,No,"Imported from Sprout Social — Post Performance (Cuervo) January 1, 2026 - January 31, 2026.csv"
Jose Cuervo,Instagram,https://www.instagram.com/p/DTI29LUDAwz/,2026-01-05,13:05,Carousel,0,"New year, new season… same legendary Cuervo fun 😎✨

Tag the friend you’re bringing to the next event!",,58,6,1,2,0,,Cultural Moment / Holiday,Mixed / Hybrid,Playful / Fun,None,No,,No,,2,18,0,No,"Imported from Sprout Social — Post Performance (Cuervo) January 1, 2026 - January 31, 2026.csv"
