"Date","Instagram Profile","Followers","Net Follower Growth","Published Posts & Reels","Public Engagements","Public Engagements per Post","% Follower Growth","Published Carousels","Published Videos","Published Photos","Likes","Comments","Top Hashtags by Lifetime Public Engagements"
"01-01-2026","josecuervotequila","111,893","-1","0","0","0","-0.0009%","","0","0","0","0",""
"01-01-2026","1800tequila","","","","","","","","","","","",""
"01-01-2026","casamigos","294,196","42","0","0","0","0.0143%","0","0","0","0","0",""
"01-01-2026","donjuliotequila","","","","","","","","","","","",""
"01-01-2026","drink818","1,191,158","126","0","0","0","0.0106%","0","0","0","0","0",""
"01-01-2026","espolontequila","65,592","13","0","0","0","0.0198%","0","0","0","0","0",""
"01-01-2026","patron","436,906","-6","0","0","0","-0.0014%","0","0","0","0","0",""
"01-01-2026","teremana","776,173","-59","0","0","0","-0.0076%","0","0","0","0","0",""
"01-02-2026","josecuervotequila","111,872","-21","0","0","0","-0.0188%","","0","0","0","0",""
"01-02-2026","1800tequila","","","","","","","","","","","",""
"01-02-2026","casamigos","294,131","-65","0","0","0","-0.0221%","0","0","0","0","0",""
"01-02-2026","donjuliotequila","","","","","","","","","","","",""
"01-02-2026","drink818","1,190,925","-233","0","0","0","-0.0196%","0","0","0","0","0",""
"01-02-2026","espolontequila","65,579","-13","0","0","0","-0.0198%","0","0","0","0","0",""
"01-02-2026","patron","436,786","-120","1","788","788","-0.0275%","1","0","0","776","12","#PATRONTequila, #PATRONMargarita"
"01-02-2026","teremana","775,988","-185","0","0","0","-0.0238%","0","0","0","0","0",""
"01-03-2026","josecuervotequila","111,855","-17","0","0","0","-0.0152%","","0","0","0","0",""
"01-03-2026","1800tequila","","","","","","","","","","","",""
"01-03-2026","casamigos","294,112","-19","0","0","0","-0.0065%","0","0","0","0","0",""
"01-03-2026","donjuliotequila","","","","","","","","","","","",""
"01-03-2026","drink818","1,190,867","-58","0","0","0","-0.0049%","0","0","0","0","0",""
"01-03-2026","espolontequila","65,583","4","0","0","0","0.0061%","0","0","0","0","0",""
"01-03-2026","patron","436,771","-15","0","0","0","-0.0034%","0","0","0","0","0",""
"01-03-2026","teremana","775,935","-53","0","0","0","-0.0068%","0","0","0","0","0",""
"01-04-2026","josecuervotequila","111,836","-19","0","0","0","-0.0170%","","0","0","0","0",""
"01-04-2026","1800tequila","","","","","","","","","","","",""
"01-04-2026","casamigos","294,202","90","0","0","0","0.0306%","0","0","0","0","0",""
"01-04-2026","donjuliotequila","","","","","","","","","","","",""
"01-04-2026","drink818","1,190,666","-201","0","0","0","-0.0169%","0","0","0","0","0",""
"01-04-2026","espolontequila","65,576","-7","0","0","0","-0.0107%","0","0","0","0","0",""
"01-04-2026","patron","436,728","-43","0","0","0","-0.0098%","0","0","0","0","0",""
"01-04-2026","teremana","775,810","-125","0","0","0","-0.0161%","0","0","0","0","0",""
"01-05-2026","josecuervotequila","111,822","-14","1","64","64","-0.0125%","1","0","0","58","6",""
"01-05-2026","1800tequila","","","","","","","","","","","",""
"01-05-2026","casamigos","294,225","23","0","0","0","0.0078%","0","0","0","0","0",""
"01-05-2026","donjuliotequila","","","","","","","","","","","",""
"01-05-2026","drink818","1,190,590","-76","0","0","0","-0.0064%","0","0","0","0","0",""
"01-05-2026","espolontequila","65,572","-4","0","0","0","-0.0061%","0","0","0","0","0",""
"01-05-2026","patron","436,722","-6","0","0","0","-0.0014%","0","0","0","0","0",""
"01-05-2026","teremana","775,736","-74","1","310","310","-0.0095%","0","1","0","297","13",""
"01-06-2026","josecuervotequila","111,811","-11","0","0","0","-0.0098%","","0","0","0","0",""
"01-06-2026","1800tequila","","","","","","","","","","","",""
"01-06-2026","casamigos","294,202","-23","0","0","0","-0.0078%","0","0","0","0","0",""
"01-06-2026","donjuliotequila","","","","","","","","","","","",""
"01-06-2026","drink818","1,190,387","-203","0","0","0","-0.0171%","0","0","0","0","0",""
"01-06-2026","espolontequila","65,541","-31","0","0","0","-0.0473%","0","0","0","0","0",""
"01-06-2026","patron","436,668","-54","1","777","777","-0.0124%","1","0","0","767","10","#PATRÓNTequila, #PATRÓNCristalino"
"01-06-2026","teremana","775,581","-155","0","0","0","-0.0200%","0","0","0","0","0",""
"01-07-2026","josecuervotequila","111,802","-9","1","110","110","-0.0080%","1","0","0","103","7",""
"01-07-2026","1800tequila","","","","","","","","","","","",""
"01-07-2026","casamigos","294,213","11","1","307","307","0.0037%","0","1","0","297","10",""
"01-07-2026","donjuliotequila","","","","","","","","","","","",""
"01-07-2026","drink818","1,190,324","-63","1","1,528","1,528","-0.0053%","1","0","0","1,482","46",""
"01-07-2026","espolontequila","65,540","-1","0","0","0","-0.0015%","0","0","0","0","0",""
"01-07-2026","patron","436,662","-6","0","0","0","-0.0014%","0","0","0","0","0",""
"01-07-2026","teremana","775,526","-55","0","0","0","-0.0071%","0","0","0","0","0",""
"01-08-2026","josecuervotequila","111,784","-18","0","0","0","-0.0161%","","0","0","0","0",""
"01-08-2026","1800tequila","","","","","","","","","","","",""
"01-08-2026","casamigos","294,213","0","0","0","0","0.0000%","0","0","0","0","0",""
"01-08-2026","donjuliotequila","","","","","","","","","","","",""
"01-08-2026","drink818","1,190,041","-283","1","2,760","2,760","-0.0238%","1","0","0","2,673","87",""
"01-08-2026","espolontequila","65,537","-3","1","116","116","-0.0046%","0","0","1","90","26",""
"01-08-2026","patron","436,621","-41","0","0","0","-0.0094%","0","0","0","0","0",""
"01-08-2026","teremana","775,399","-127","0","0","0","-0.0164%","0","0","0","0","0",""
"01-09-2026","josecuervotequila","111,780","-4","1","62","62","-0.0036%","1","0","0","59","3",""
"01-09-2026","1800tequila","","","","","","","","","","","",""
"01-09-2026","casamigos","294,214","1","1","112","112","0.0003%","0","0","1","111","1",""
"01-09-2026","donjuliotequila","","","","","","","","","","","",""
"01-09-2026","drink818","1,190,069","28","0","0","0","0.0024%","0","0","0","0","0",""
"01-09-2026","espolontequila","65,529","-8","1","264","264","-0.0122%","0","1","0","251","13",""
"01-09-2026","patron","436,609","-12","0","0","0","-0.0027%","0","0","0","0","0",""
"01-09-2026","teremana","775,349","-50","1","238","238","-0.0064%","0","1","0","206","32",""
"01-10-2026","josecuervotequila","111,777","-3","0","0","0","-0.0027%","","0","0","0","0",""
"01-10-2026","1800tequila","","","","","","","","","","","",""
"01-10-2026","casamigos","294,224","10","0","0","0","0.0034%","0","0","0","0","0",""
"01-10-2026","donjuliotequila","","","","","","","","","","","",""
"01-10-2026","drink818","1,189,974","-95","1","1,316","1,316","-0.0080%","1","0","0","1,251","65",""
"01-10-2026","espolontequila","65,506","-23","0","0","0","-0.0351%","0","0","0","0","0",""
"01-10-2026","patron","436,597","-12","0","0","0","-0.0027%","0","0","0","0","0",""
"01-10-2026","teremana","775,200","-149","0","0","0","-0.0192%","0","0","0","0","0",""
"01-11-2026","josecuervotequila","111,781","4","0","0","0","0.0036%","","0","0","0","0",""
"01-11-2026","1800tequila","","","","","","","","","","","",""
"01-11-2026","casamigos","294,228","4","0","0","0","0.0014%","0","0","0","0","0",""
"01-11-2026","donjuliotequila","","","","","","","","","","","",""
"01-11-2026","drink818","1,189,908","-66","0","0","0","-0.0055%","0","0","0","0","0",""
"01-11-2026","espolontequila","65,501","-5","0","0","0","-0.0076%","0","0","0","0","0",""
"01-11-2026","patron","436,597","0","0","0","0","0.0000%","0","0","0","0","0",""
"01-11-2026","teremana","775,166","-34","1","193","193","-0.0044%","0","1","0","187","6",""
"01-12-2026","josecuervotequila","111,759","-22","0","0","0","-0.0197%","","0","0","0","0",""
"01-12-2026","1800tequila","","","","","","","","","","","",""
"01-12-2026","casamigos","294,250","22","0","0","0","0.0075%","0","0","0","0","0",""
"01-12-2026","donjuliotequila","","","","","","","","","","","",""
"01-12-2026","drink818","1,189,893","-15","0","0","0","-0.0013%","0","0","0","0","0",""
"01-12-2026","espolontequila","65,497","-4","0","0","0","-0.0061%","0","0","0","0","0",""
"01-12-2026","patron","436,555","-42","1","571","571","-0.0096%","0","0","1","564","7","#PATRÓNTequila, #PATRÓNReposado"
"01-12-2026","teremana","775,030","-136","0","0","0","-0.0175%","0","0","0","0","0",""
"01-13-2026","josecuervotequila","111,781","22","0","0","0","0.0197%","","0","0","0","0",""
"01-13-2026","1800tequila","","","","","","","","","","","",""
"01-13-2026","casamigos","294,230","-20","1","200","200","-0.0068%","0","1","0","191","9",""
"01-13-2026","donjuliotequila","","","","","","","","","","","",""
"01-13-2026","drink818","1,189,815","-78","0","0","0","-0.0066%","0","0","0","0","0",""
"01-13-2026","espolontequila","65,493","-4","0","0","0","-0.0061%","0","0","0","0","0",""
"01-13-2026","patron","436,545","-10","1","821","821","-0.0023%","1","0","0","811","10","#PATRONTequila, #PATRONSilver"
"01-13-2026","teremana","774,950","-80","0","0","0","-0.0103%","0","0","0","0","0",""
"01-14-2026","josecuervotequila","111,792","11","0","0","0","0.0098%","","0","0","0","0",""
"01-14-2026","1800tequila","","","","","","","","","","","",""
"01-14-2026","casamigos","294,261","31","0","0","0","0.0105%","0","0","0","0","0",""
"01-14-2026","donjuliotequila","","","","","","","","","","","",""
"01-14-2026","drink818","1,189,772","-43","0","0","0","-0.0036%","0","0","0","0","0",""
"01-14-2026","espolontequila","65,511","18","0","0","0","0.0275%","0","0","0","0","0",""
"01-14-2026","patron","436,525","-20","0","0","0","-0.0046%","0","0","0","0","0",""
"01-14-2026","teremana","774,881","-69","0","0","0","-0.0089%","0","0","0","0","0",""
"01-15-2026","josecuervotequila","111,770","-22","1","48","48","-0.0197%","1","0","0","48","0",""
"01-15-2026","1800tequila","","","","","","","","","","","",""
"01-15-2026","casamigos","294,257","-4","0","0","0","-0.0014%","0","0","0","0","0",""
"01-15-2026","donjuliotequila","","","","","","","","","","","",""
"01-15-2026","drink818","1,189,562","-210","0","0","0","-0.0177%","0","0","0","0","0",""
"01-15-2026","espolontequila","65,526","15","0","0","0","0.0229%","0","0","0","0","0",""
"01-15-2026","patron","436,479","-46","1","2,497","2,497","-0.0105%","1","0","0","2,421","76","#PATRONxGRAMMYS, #PATRONTequila, #PATRONELALTO"
"01-15-2026","teremana","774,711","-170","0","0","0","-0.0219%","0","0","0","0","0",""
"01-16-2026","josecuervotequila","111,741","-29","0","0","0","-0.0259%","","0","0","0","0",""
"01-16-2026","1800tequila","","","","","","","","","","","",""
"01-16-2026","casamigos","294,219","-38","0","0","0","-0.0129%","0","0","0","0","0",""
"01-16-2026","donjuliotequila","","","","","","","","","","","",""
"01-16-2026","drink818","1,189,329","-233","0","0","0","-0.0196%","0","0","0","0","0",""
"01-16-2026","espolontequila","65,519","-7","1","232","232","-0.0107%","0","0","1","219","13",""
"01-16-2026","patron","436,576","97","0","0","0","0.0222%","0","0","0","0","0",""
"01-16-2026","teremana","774,507","-204","0","0","0","-0.0263%","0","0","0","0","0",""
"01-17-2026","josecuervotequila","111,756","15","1","37","37","0.0134%","0","0","1","36","1",""
"01-17-2026","1800tequila","","","","","","","","","","","",""
"01-17-2026","casamigos","294,269","50","0","0","0","0.0170%","0","0","0","0","0",""
"01-17-2026","donjuliotequila","","","","","","","","","","","",""
"01-17-2026","drink818","1,189,403","74","0","0","0","0.0062%","0","0","0","0","0",""
"01-17-2026","espolontequila","65,537","18","0","0","0","0.0275%","0","0","0","0","0",""
"01-17-2026","patron","436,553","-23","0","0","0","-0.0053%","0","0","0","0","0",""
"01-17-2026","teremana","774,610","103","0","0","0","0.0133%","0","0","0","0","0",""
"01-18-2026","josecuervotequila","111,766","10","0","0","0","0.0089%","","0","0","0","0",""
"01-18-2026","1800tequila","","","","","","","","","","","",""
"01-18-2026","casamigos","294,275","6","0","0","0","0.0020%","0","0","0","0","0",""
"01-18-2026","donjuliotequila","","","","","","","","","","","",""
"01-18-2026","drink818","1,189,366","-37","0","0","0","-0.0031%","0","0","0","0","0",""
"01-18-2026","espolontequila","65,551","14","0","0","0","0.0214%","0","0","0","0","0",""
"01-18-2026","patron","436,578","25","0","0","0","0.0057%","0","0","0","0","0",""
"01-18-2026","teremana","774,647","37","0","0","0","0.0048%","0","0","0","0","0",""
"01-19-2026","josecuervotequila","111,759","-7","1","59","59","-0.0063%","1","0","0","57","2",""
"01-19-2026","1800tequila","","","","","","","","","","","",""
"01-19-2026","casamigos","294,320","45","0","0","0","0.0153%","0","0","0","0","0",""
"01-19-2026","donjuliotequila","","","","","","","","","","","",""
"01-19-2026","drink818","1,189,276","-90","0","0","0","-0.0076%","0","0","0","0","0",""
"01-19-2026","espolontequila","65,569","18","0","0","0","0.0275%","0","0","0","0","0",""
"01-19-2026","patron","436,579","1","0","0","0","0.0002%","0","0","0","0","0",""
"01-19-2026","teremana","774,651","4","0","0","0","0.0005%","0","0","0","0","0",""
"01-20-2026","josecuervotequila","111,772","13","0","0","0","0.0116%","","0","0","0","0",""
"01-20-2026","1800tequila","","","","","","","","","","","",""
"01-20-2026","casamigos","294,361","41","0","0","0","0.0139%","0","0","0","0","0",""
"01-20-2026","donjuliotequila","","","","","","","","","","","",""
"01-20-2026","drink818","1,189,005","-271","1","16,646","16,646","-0.0228%","0","1","0","16,310","336",""
"01-20-2026","espolontequila","65,570","1","0","0","0","0.0015%","0","0","0","0","0",""
"01-20-2026","patron","436,570","-9","1","729","729","-0.0021%","0","0","1","718","11","#PATRONxGRAMMYS, #PATRONELALTO"
"01-20-2026","teremana","774,531","-120","0","0","0","-0.0155%","0","0","0","0","0",""
"01-21-2026","josecuervotequila","111,767","-5","1","54","54","-0.0045%","1","0","0","54","0",""
"01-21-2026","1800tequila","","","","","","","","","","","",""
"01-21-2026","casamigos","294,359","-2","1","618","618","-0.0007%","1","0","0","591","27",""
"01-21-2026","donjuliotequila","","","","","","","","","","","",""
"01-21-2026","drink818","1,189,233","228","1","894","894","0.0192%","1","0","0","857","37",""
"01-21-2026","espolontequila","65,577","7","1","115","115","0.0107%","1","0","0","113","2",""
"01-21-2026","patron","436,565","-5","0","0","0","-0.0011%","0","0","0","0","0",""
"01-21-2026","teremana","774,485","-46","1","359","359","-0.0059%","0","0","1","352","7",""
"01-22-2026","josecuervotequila","111,763","-4","0","0","0","-0.0036%","","0","0","0","0",""
"01-22-2026","1800tequila","","","","","","","","","","","",""
"01-22-2026","casamigos","294,365","6","0","0","0","0.0020%","0","0","0","0","0",""
"01-22-2026","donjuliotequila","","","","","","","","","","","",""
"01-22-2026","drink818","1,189,365","132","1","1,986","1,986","0.0111%","0","1","0","1,921","65",""
"01-22-2026","espolontequila","65,598","21","0","0","0","0.0320%","0","0","0","0","0",""
"01-22-2026","patron","436,557","-8","1","1,177","1,177","-0.0018%","1","0","0","1,158","19","#PATRONxGRAMMYS, #PATRONSILVER, #PATRONCRISTALINO"
"01-22-2026","teremana","774,388","-97","0","0","0","-0.0125%","0","0","0","0","0",""
"01-23-2026","josecuervotequila","111,776","13","1","106","106","0.0116%","1","0","0","97","9",""
"01-23-2026","1800tequila","","","","","","","","","","","",""
"01-23-2026","casamigos","294,372","7","0","0","0","0.0024%","0","0","0","0","0",""
"01-23-2026","donjuliotequila","","","","","","","","","","","",""
"01-23-2026","drink818","1,189,376","11","0","0","0","0.0009%","0","0","0","0","0",""
"01-23-2026","espolontequila","65,610","12","1","601","601","0.0183%","0","1","0","587","14","#ad, #EspolonPartner"
"01-23-2026","patron","436,570","13","0","0","0","0.0030%","0","0","0","0","0",""
"01-23-2026","teremana","774,314","-74","1","105","105","-0.0096%","0","1","0","94","11",""
"01-24-2026","josecuervotequila","111,781","5","0","0","0","0.0045%","","0","0","0","0",""
"01-24-2026","1800tequila","","","","","","","","","","","",""
"01-24-2026","casamigos","294,387","15","0","0","0","0.0051%","0","0","0","0","0",""
"01-24-2026","donjuliotequila","","","","","","","","","","","",""
"01-24-2026","drink818","1,189,263","-113","0","0","0","-0.0095%","0","0","0","0","0",""
"01-24-2026","espolontequila","65,636","26","0","0","0","0.0396%","0","0","0","0","0",""
"01-24-2026","patron","436,591","21","0","0","0","0.0048%","0","0","0","0","0",""
"01-24-2026","teremana","774,255","-59","0","0","0","-0.0076%","0","0","0","0","0",""
"01-25-2026","josecuervotequila","111,754","24","0","0","0","0.0215%","","0","0","0","0",""
"01-25-2026","1800tequila","","","","","","","","","","","",""
"01-25-2026","casamigos","294,403","16","0","0","0","0.0054%","0","0","0","0","0",""
"01-25-2026","donjuliotequila","","","","","","","","","","","",""
"01-25-2026","drink818","1,189,238","-25","1","2,334","2,334","-0.0021%","1","0","0","2,278","56",""
"01-25-2026","espolontequila","65,646","10","0","0","0","0.0152%","0","0","0","0","0",""
"01-25-2026","patron","436,633","42","0","0","0","0.0096%","0","0","0","0","0",""
"01-25-2026","teremana","774,200","-55","0","0","0","-0.0071%","0","0","0","0","0",""
"01-26-2026","josecuervotequila","111,798","44","0","0","0","0.0394%","","0","0","0","0",""
"01-26-2026","1800tequila","","","","","","","","","","","",""
"01-26-2026","casamigos","294,418","15","1","1,890","1,890","0.0051%","0","1","0","1,830","60","#ad"
"01-26-2026","donjuliotequila","","","","","","","","","","","",""
"01-26-2026","drink818","1,189,214","-24","1","1,102","1,102","-0.0020%","1","0","0","1,050","52",""
"01-26-2026","espolontequila","65,656","10","0","0","0","0.0152%","0","0","0","0","0",""
"01-26-2026","patron","436,675","42","0","0","0","0.0096%","0","0","0","0","0",""
"01-26-2026","teremana","774,146","-54","0","0","0","-0.0070%","0","0","0","0","0",""
"01-27-2026","josecuervotequila","111,804","6","0","0","0","0.0054%","","0","0","0","0",""
"01-27-2026","1800tequila","","","","","","","","","","","",""
"01-27-2026","casamigos","294,491","73","1","207","207","0.0248%","0","1","0","189","18",""
"01-27-2026","donjuliotequila","","","","","","","","","","","",""
"01-27-2026","drink818","1,189,132","-82","1","1,446","1,446","-0.0069%","1","0","0","1,396","50",""
"01-27-2026","espolontequila","65,677","21","0","0","0","0.0320%","0","0","0","0","0",""
"01-27-2026","patron","436,648","-27","1","589","589","-0.0062%","0","0","1","582","7","#PATRONxGRAMMYS, #PATRONELALTO"
"01-27-2026","teremana","774,080","-66","0","0","0","-0.0085%","0","0","0","0","0",""
"01-28-2026","josecuervotequila","111,805","1","0","0","0","0.0009%","","0","0","0","0",""
"01-28-2026","1800tequila","","","","","","","","","","","",""
"01-28-2026","casamigos","294,490","-1","1","866","866","-0.0003%","0","1","0","842","24","#ad"
"01-28-2026","donjuliotequila","","","","","","","","","","","",""
"01-28-2026","drink818","1,189,054","-78","0","0","0","-0.0066%","0","0","0","0","0",""
"01-28-2026","espolontequila","65,687","10","0","0","0","0.0152%","0","0","0","0","0",""
"01-28-2026","patron","436,684","36","0","0","0","0.0082%","0","0","0","0","0",""
"01-28-2026","teremana","774,039","-41","0","0","0","-0.0053%","0","0","0","0","0",""
"01-29-2026","josecuervotequila","111,785","-20","1","38","38","-0.0179%","1","0","0","37","1",""
"01-29-2026","1800tequila","","","","","","","","","","","",""
"01-29-2026","casamigos","294,516","26","1","16","16","0.0088%","1","0","0","0","16",""
"01-29-2026","donjuliotequila","","","","","","","","","","","",""
"01-29-2026","drink818","1,188,939","-115","0","0","0","-0.0097%","0","0","0","0","0",""
"01-29-2026","espolontequila","65,677","-10","0","0","0","-0.0152%","0","0","0","0","0",""
"01-29-2026","patron","436,676","-8","1","583","583","-0.0018%","0","1","0","554","29","#PATRONxGRAMMYS"
"01-29-2026","teremana","773,951","-88","0","0","0","-0.0114%","0","0","0","0","0",""
"01-30-2026","josecuervotequila","111,784","-1","0","0","0","-0.0009%","","0","0","0","0",""
"01-30-2026","1800tequila","","","","","","","","","","","",""
"01-30-2026","casamigos","294,509","-7","0","0","0","-0.0024%","0","0","0","0","0",""
"01-30-2026","donjuliotequila","","","","","","","","","","","",""
"01-30-2026","drink818","1,188,866","-73","0","0","0","-0.0061%","0","0","0","0","0",""
"01-30-2026","espolontequila","65,678","1","0","0","0","0.0015%","0","0","0","0","0",""
"01-30-2026","patron","436,701","25","1","4,049","4,049","0.0057%","0","1","0","3,993","56","#PATRONxGRAMMYS"
"01-30-2026","teremana","773,923","-28","0","0","0","-0.0036%","0","0","0","0","0",""
"01-31-2026","josecuervotequila","111,785","1","1","47","47","0.0009%","0","1","0","47","0",""
"01-31-2026","1800tequila","","","","","","","","","","","",""
"01-31-2026","casamigos","294,491","-18","0","0","0","-0.0061%","0","0","0","0","0",""
"01-31-2026","donjuliotequila","","","","","","","","","","","",""
"01-31-2026","drink818","1,188,765","-101","0","0","0","-0.0085%","0","0","0","0","0",""
"01-31-2026","espolontequila","65,678","0","1","300","300","0.0000%","0","1","0","269","31",""
"01-31-2026","patron","436,726","25","1","392","392","0.0057%","1","0","0","381","11","#PATRONxGRAMMYS"
"01-31-2026","teremana","773,847","-76","0","0","0","-0.0098%","0","0","0","0","0",""
