Brand,Platform,Post Type,Primary Theme,Secondary Theme,Primary Keyword ID,Secondary Keyword ID,Caption (first 200 chars)
Jose Cuervo,Instagram,Carousel,Creator Collab,Event/Activation,MANUAL,"hosted by, akamba","AKAMBA IS COMING SOON…. April 25, 2026

A one-of-a-kind celebration hosted by Cuervo in the heart of Tequila, Mexico. Bringing together culture, sound, and the tequila that’s been at the center of unf"
Jose Cuervo,Instagram,Carousel,Brand Heritage / Culture,,sustainability ,,"Cuervo proudly repurposes the agave used in our tequila-making process — transforming it into everything from cups and straws to fashion and more.

Learn more about our sustainability practices in the"
Jose Cuervo,Instagram,Carousel,Brand Heritage / Culture,,230 years ,,"For over 230 years, Cuervo has been bringing people together for the moments that actually matter 🥃✨

Find us out there and be a part of our moments!"
Jose Cuervo,Instagram,Reel,Brand Heritage / Culture,Event/Activation,sustainability ,new orleans,"From ground to glass, Cuervo has been leading the charge in tequila sustainability and we took that story straight to New Orleans 🌱✨

Hit the link in bio to learn more about our sustainability practic"
Jose Cuervo,Instagram,Carousel,Brand Heritage / Culture,,sustainability ,,"From agave to after-party ♻️

We don’t just craft tequila, we repurpose our agave bagasse into cups and new products that keep the celebration going with less waste. 

That’s how Cuervo does sustainab"
Jose Cuervo,Instagram,Carousel,Cocktail Highlights ,,cocktail,,"There’s a tray of Cuervo cocktails… who are you sharing them with??

Tag your happy hour crew below 👇"
Jose Cuervo,Instagram,Carousel,Product/Lifestyle,,"next night out, whole crew",,"Who’s ready for another round? 👀🔥

Shots going up, cocktails flowing, and the whole crew locked in.

Save this for your next night out!"
Jose Cuervo,Instagram,Carousel,Product/Lifestyle,,nights like these ,,"Nights like these don’t need much… just Cuervo, good company, and a reason to stay a little longer 🌙 🥃"
Jose Cuervo,Instagram,Static Image,Brand Heritage / Culture,,our history,,"A little throwback moment never hurt anyone 📺✨

We bring our iconic Cuervo ads to our activations to celebrate our history — timeless & unforgettable.

Share this with a tequila lover!"
Jose Cuervo,Instagram,Carousel,Cultural Moment/Holiday,Cocktail Highlights ,new year,"recipe,cocktail ","We rang in the new year the only way we know how 🥂🔥

Hit the link in bio to learn a new Cuervo cocktail recipe & keep the vibes going!"
Jose Cuervo,Instagram,Carousel,Event/Activation,,"akamba, moment, unforgettable",,"Good music, great friends, and even better tequila 🍹🔥 Cuervo brought the party to Akamba! Every sip, every beat, every moment was unforgettable!!

Do you want to join us this year? 👀"
Jose Cuervo,Instagram,Carousel,Product/Lifestyle,,"blanco, reposadeo, anjeo, cristalino",,"Four tequilas. Endless ways to raise your glass. Which Cuervo are you reaching for?

Blanco, Reposado, Anejo, or Cristalino 🥃👇"
Jose Cuervo,Instagram,Carousel,Cultural Moment/Holiday,Product/Lifestyle,new year,,"New year, new season… same legendary Cuervo fun 😎✨

Tag the friend you’re bringing to the next event!"
Jose Cuervo,Instagram,Reel,Partner,Product/Lifestyle,"cuervopartner, cuervocollective",,"What an amazing year full of friends, fun, & even more tequila! Wishing you all a happy Cuervo filled New Year! 🥂✨
 
@josecuervotequila #cuervopartner @cuervocollective"
Jose Cuervo,Instagram,Carousel,Partner,Cultural Moment/Holiday,"cuervopartner, cuervocollective",holiday,"The holidays always taste better with Margs🍹 Cheers! 

@josecuervotequila #CuervoPartner #CuervoCollective"
Jose Cuervo,Instagram,Carousel,Creator Collab,Cultural Moment/Holiday,MANUAL,holiday,"New year, same favorite tequila 🥂✨ @josecuervotequila #cuervopartner @cuervocollective"
Jose Cuervo,Instagram,Static Image,Cultural Moment/Holiday,,holiday,,"Holiday magic hits different with Cuervo✨🍹

Cheers to cozy nights, bright lights, and Cuervo margs all season long.

What are you toasting to tonight? 👇"
Jose Cuervo,Instagram,Static Image,Cultural Moment/Holiday,,wishlist (christmas),,Don’t worry we’re taking notes… 🎁 What’s on your wishlist? Drop it below 👇
Jose Cuervo,Instagram,Static Image,Cultural Moment/Holiday,Product/Lifestyle,tis the season,crew ,"‘Tis the season for good friends and Cuervo in hand! ✨🍹

Who are you celebrating with? Tag your holiday crew below 👇"
Jose Cuervo,Instagram,Carousel,Cultural Moment/Holiday,,holiday (christmas),,"This is how Cuervo celebrates the holidays 🎄🔥

Cuervo cocktails, loud laughs, good music, and even better outfits! 

Tag your holiday crew, save this for party inspo, and click the link in bio to stoc"
Jose Cuervo,Instagram,Reel,Creator Collab,Cocktail Highlights ,MANUAL,ingredients ,"The perfect holiday themed Cuervo Tradicional cocktails are here! These 3 drinks are sure to be a hit at any gathering this season! Make your own with the ingredients and steps below ⬇️ 

🍒 Cranberry"
Jose Cuervo,TikTok,Video,Cocktail Highlights ,,,ingredients ,The perfect holiday themed Cuervo Tradicional cocktails are here! These 3 drinks are sure to be a hit at any gathering this season! Make your own with the ingredients and steps below ⬇️ 🍒 Cranberry Sp
Jose Cuervo,Instagram,Static Image,Cultural Moment/Holiday,,holiday,,"The holidays called… they want more margs 🎁

Good news: with Cuervo, marg season never ends! ✨"
Jose Cuervo,Instagram,Static Image,Product/Lifestyle,,"summer, state of mind",,"Only 192 days until Summer…. Good thing it’s always marg season when Cuervo’s in the mix🍹☀️

Summer’s a state of mind, and we pour it year-round! Check out the link in our bio for summer-inspired reci"
Jose Cuervo,Instagram,Reel,Creator Collab,Cultural Moment/Holiday,holiday ,,"Erwin’s holiday set starts with a Cuervo pre-game 🍹✨

Drop a 🎧 if you’re making margs this season + tap the link in bio to shake up your own Cuervo pre-game."
Jose Cuervo,TikTok,Video,Creator Collab,,,,Erwin’s holiday set starts with a Cuervo pre-game 🍹✨ Drop a 🎧 if you’re making margs this season + tap the link in bio to shake up your own Cuervo pre-game.
Jose Cuervo,Instagram,Carousel,Product/Lifestyle,,shaken or straight up? (question),,"Shaken or straight up?
🥃 However you pour it, make it Cuervo!

Let us know how you like it below 👇"
Jose Cuervo,Instagram,Reel,Partner,,"cuervocollective, cuervopartner",,"Cozy moments brought to you by Cuervo magic ✨🤎 🤝 

@josecuervotequila #cuervopartner #cuervocollective"
Jose Cuervo,Instagram,Reel,Giveaway/Promo,Partner,giveaway,UFC,"You know what time it is… UFC 323 is almost here! We’re giving away 10 UFC PPV codes so you can catch every jab, kick, and knockout with a Cuervo marg in hand!⚡️

Want in? Here’s how to enter for a ch"
Jose Cuervo,Instagram,Reel,Partner,,,,"Family, friends, good vibes… and Cuervo margs!

Here’s what the Cuervo Collective is grateful for this year 🥂✨

Tell us what you’re thankful for below ⬇️"
Jose Cuervo,Instagram,Reel,Partner,Cultural Moment/Holiday,"cuervocollective, cuervopartner",friendsgiving,"If you’re hosting the crew for Friendsgiving, make sure you try these delicious pumpkin pie margaritas! 

@josecuervotequila #cuervopartner #cuervocollective"
Jose Cuervo,Instagram,Reel,Partner,,"cuervocollective, cuervopartner",,"The perfect @josecuervotequila drink for every Friendsgiving dish! Had to call in some besties to help me cook a cute lil dinner for me and some friends <3 S/o @awesomezaucy & @claudia.again

Dish 🤝🏽"
Jose Cuervo,Instagram,Carousel,Product/Lifestyle,,manual,,"Wherever Cuervo shows up, good times always follow! 🥃 Because no one does it like #thetequilathatinventedtequila

Check out the link in our bio for easy to make at home Cuervo cocktails!"
Jose Cuervo,Instagram,Carousel,Cocktail Highlights ,,paloma ,,"Friendsgiving survival starts with one thing: Cuervo® Tradicional® Blanco.

Big-batch Paloma, Mule with a lil edge, or a bright Cranberry Spritz… Consider your cocktail duty handled. 🍹

Click the link"
Jose Cuervo,Instagram,Carousel,Brand Heritage / Culture,,originals,,"The tequila that invented tequila 🥃⚡️

From the shirt tequila made to the smile tequila made, it all starts with Cuervo.

Here’s to the originals, the ones who do it first (and do it right)!"
Jose Cuervo,Instagram,Reel,Partner,Cocktail Highlights ,@cheapercarribien,learn how to mix,"Margaritas + ocean views = perfection. 🌴

Learn how to mix our Classic Margarita with @JtheTequilaGuy, then start planning your next beachside getaway with @cheapcaribbean"
Jose Cuervo,Instagram,Carousel,Cultural Moment/Holiday,Partner,friendsgiving,@dinabn,"Good food, good friends, and good tequila… that’s the recipe for a Cuervo Friendsgiving! (and the ones in the link in bio ofc)

Here’s to the moments that bring us together 🤍🥃 Send to the friend who’s"
Jose Cuervo,Instagram,Carousel,Partner,Brand Heritage / Culture,cuervo collective,mexico,"The Cuervo Collective in Mexico on film 📸🤩
 
No filters. No retakes. Just real moments & #thetequilathatinventedtequila"
Jose Cuervo,Instagram,Reel,Giveaway/Promo,Partner,codes,ufc ,"The countdown to UFC 322 is ON… and Cuervo wants you to catch all the action! 👊⚡️

We’re hooking up 10 fans with UFC PPV codes so you can stream the fight Saturday, November 15th — margarita in hand 🍹"
Jose Cuervo,Instagram,Carousel,Product/Lifestyle,,love language,,"If Tequila is your love language, Cuervo speaks it fluently! 💬 🥂

Ready to practice yours? Tag a friend, pick your pour, and make tonight count.

Check out the link in bio for all the Cuervo recipes!"
Jose Cuervo,Instagram,Carousel,Meme/Humor,,MANUAL (image),,"Don’t say we didn’t remind you! 😏
Daylight savings? More like an extra hour to raise a glass with Cuervo! ⏰🥃"
Jose Cuervo,Instagram,Carousel,Cultural Moment/Holiday,Partner,spooky,cuervo collective ,"How’s your Cuervo spooky season?? 😈

@dinabn from our Cuervo collective is mixing up spooky vibes and Cuervo margs!

Let us know in the comments below 👇"
Jose Cuervo,Instagram,Carousel,Creator Collab,Partner,MANUAL,cuervo collective ,"some tequila, spice, & everything nice 🧪😈 

#CuervoPartner #CuervoCollective"
Jose Cuervo,Instagram,Carousel,Creator Collab,Partner,MAUNAL,cuervo collective ,"Cuervo in hand, Miami in Motion!
Where will you catch me next?!

#CuervoPartner #cuervocollective"
Jose Cuervo,Instagram,Reel,Partner,,cuervo collective,,"Making people’s day, one marg at a time 😎🥃  @josecuervotequila #CuervoPartner #CuervoCollective"
Jose Cuervo,Instagram,Reel,Event/Activation,,tales of the cocktail,,"Style that feels good, because this merch is made with purpose 🌿

💬 Which piece is calling your name? Let us know in the comments below!

@tales_of_the_cocktail @hijadetumadre @cayetano_gaxiola"
Jose Cuervo,Instagram,Reel,Giveaway/Promo,Partner,giveaway,ufc,"👊 UFC 321 is almost here, and Cuervo’s got your ticket to the action!

We’re giving away 10 UFC PPV codes for UFC 321 so you can stream it live Saturday, October 25th… with a Cuervo marg in hand!

For"
Jose Cuervo,Instagram,Reel,Event/Activation,,tales of the cocktail,,"Highball or Margarita? Salt rim or Tajín? We want to know your vibe too! 🥂

👉 Choose, comment, and tag a friend to challenge them too! @tales_of_the_cocktail"
Jose Cuervo,Instagram,Carousel,Cocktail Highlights ,Partner,ingredients,cuervo collective,"Margs taste so much better when our Cuervo Collective makes them 🤩🎶 Keeping summer vibes going with the perfect sweet and spicy @josecuervotequila margarita 🌶️🍍 Recipe below!! @dinabn

Ingredients: 
2"
Jose Cuervo,Instagram,Reel,Event/Activation,,tales of the cocktail,,"Neon lights, oysters, highballs, and Cuervo energy! NOLA nights don’t get any better 🦪🍸
Who would you bring to this party? Drop a name in the comments! 🔥 @tales_of_the_cocktail"
Jose Cuervo,Instagram,Reel,Cocktail Highlights ,,recipe,,"Crafted in the 305 — meet La Madurita 🍌🍹 
A marg made to beat the Miami heat 🔥🌴

Cuervo “Madurita” Recipe:
 • 2 oz Cuervo Trad Reposado
 • 1 oz Fresh Lime Juice
 • 0.5 oz Platano Maduro Syrup or Agave"
Jose Cuervo,Instagram,Reel,Event/Activation,,tales of the cocktail,,"Behind every perfect pour is a bartender with a story!  Meet the Vertical team,  bringing Cuervo magic to life 🍸✨

👀 Tag someone who needs to see these skills behind the bar!
@vertical.evolutivo @tale"
Jose Cuervo,Instagram,Reel,Cultural Moment/Holiday,,nationaltacoday,,"If your taco doesn’t come with a Cuervo marg… start over 😉

Happy #NationalTacoDay from #thetequilathatinventedtequila that makes every bite taste better 🌮🍹"
Jose Cuervo,Instagram,Carousel,Event/Activation,,"activation, festival",,"Big vibes. Bigger crowds. 🍹🎶 Our Cuervo festival activations keep the party moving!

Who’s ready to dance, sip, and make memories? Comment 🕺 below"
Jose Cuervo,Instagram,Reel,Event/Activation,,tales of the cocktail,,"The Hanky Panky bartenders know how to make every Cuervo moment unforgettable 🥂

@tales_of_the_cocktail @hankypankydf"
Jose Cuervo,Instagram,Carousel,Brand Heritage / Culture,,sustainabiliby,,Learning. Sipping. Growing. 🌱🍹 We’re raising glasses and awareness through our Cuervo sustainability workshops designed to educate and inspire the local bartender community as we strive for a world wi